ID,Title,Description,Completed,Priority,Due date,Created at,Updated at
90027,Write Unit Tests,Add test coverage for the new payment module,0,Medium,2026-01-18,2026-01-12 21:24:20,2026-01-12 21:24:20
90028,Backup Database,Create weekly backup of production database,1,Low,2026-01-09,2026-01-12 21:24:20,2026-01-12 21:24:20
90029,Research New Framework,Evaluate Next.js vs Remix for upcoming project,0,Low,2026-01-20,2026-01-12 21:24:20,2026-01-12 21:24:20
90030,Client Follow Up,Send progress report to client stakeholders,0,Medium,2026-01-16,2026-01-12 21:24:20,2026-01-12 21:24:20
90031,Complete Project Proposal,Draft and submit the Q1 project proposal to management,0,High,2026-01-15,2026-01-12 21:27:41,2026-01-12 21:27:41
90032,Review Code Changes,Review pull requests from the frontend team,0,Medium,2026-01-13,2026-01-12 21:27:41,2026-01-12 21:27:41
90033,Update Documentation,Update API docs with new endpoints,1,Low,2026-01-10,2026-01-12 21:27:41,2026-01-12 21:27:41
90034,Schedule Team Meeting,Set up weekly sync meeting for engineering team,1,Medium,2026-01-11,2026-01-12 21:27:41,2026-01-12 21:27:41
90035,Fix Login Bug,Resolve the authentication timeout issue reported by users,0,High,2026-01-14,2026-01-12 21:27:41,2026-01-12 21:27:41
90036,Deploy To Staging,Push latest changes to staging environment for QA,0,High,2026-01-12,2026-01-12 21:27:41,2026-01-12 21:27:41
90037,Write Unit Tests,Add test coverage for the new payment module,0,Medium,2026-01-18,2026-01-12 21:27:41,2026-01-12 21:27:41
90038,Backup Database,Create weekly backup of production database,1,Low,2026-01-09,2026-01-12 21:27:41,2026-01-12 21:27:41
90039,Research New Framework,Evaluate Next.js vs Remix for upcoming project,0,Low,2026-01-20,2026-01-12 21:27:41,2026-01-12 21:27:41
90040,Client Follow Up,Send progress report to client stakeholders,0,Medium,2026-01-16,2026-01-12 21:27:41,2026-01-12 21:27:41
90041,Complete Project Proposal,Draft and submit the Q1 project proposal to management,0,High,2026-01-15,2026-01-12 21:29:06,2026-01-12 21:29:06
90042,Review Code Changes,Review pull requests from the frontend team,0,Medium,2026-01-13,2026-01-12 21:29:06,2026-01-12 21:29:06
90043,Update Documentation,Update API docs with new endpoints,1,Low,2026-01-10,2026-01-12 21:29:06,2026-01-12 21:29:06
90044,Schedule Team Meeting,Set up weekly sync meeting for engineering team,1,Medium,2026-01-11,2026-01-12 21:29:06,2026-01-12 21:29:06
90045,Fix Login Bug,Resolve the authentication timeout issue reported by users,0,High,2026-01-14,2026-01-12 21:29:06,2026-01-12 21:29:06
90046,Deploy To Staging,Push latest changes to staging environment for QA,0,High,2026-01-12,2026-01-12 21:29:06,2026-01-12 21:29:06
90047,Write Unit Tests,Add test coverage for the new payment module,0,Medium,2026-01-18,2026-01-12 21:29:06,2026-01-12 21:29:06
90048,Backup Database,Create weekly backup of production database,1,Low,2026-01-09,2026-01-12 21:29:06,2026-01-12 21:29:06
90049,Research New Framework,Evaluate Next.js vs Remix for upcoming project,0,Low,2026-01-20,2026-01-12 21:29:06,2026-01-12 21:29:06
90050,Client Follow Up,Send progress report to client stakeholders,0,Medium,2026-01-16,2026-01-12 21:29:06,2026-01-12 21:29:06
90051,Complete Project Proposal,Draft and submit the Q1 project proposal to management,0,High,2026-01-15,2026-01-12 21:31:31,2026-01-12 21:31:31
90052,Review Code Changes,Review pull requests from the frontend team,0,Medium,2026-01-13,2026-01-12 21:31:31,2026-01-12 21:31:31
90053,Update Documentation,Update API docs with new endpoints,1,Low,2026-01-10,2026-01-12 21:31:31,2026-01-12 21:31:31
90054,Schedule Team Meeting,Set up weekly sync meeting for engineering team,1,Medium,2026-01-11,2026-01-12 21:31:31,2026-01-12 21:31:31
90055,Fix Login Bug,Resolve the authentication timeout issue reported by users,0,High,2026-01-14,2026-01-12 21:31:31,2026-01-12 21:31:31
90056,Deploy To Staging,Push latest changes to staging environment for QA,0,High,2026-01-12,2026-01-12 21:31:31,2026-01-12 21:31:31
90057,Write Unit Tests,Add test coverage for the new payment module,0,Medium,2026-01-18,2026-01-12 21:31:31,2026-01-12 21:31:31
90058,Backup Database,Create weekly backup of production database,1,Low,2026-01-09,2026-01-12 21:31:31,2026-01-12 21:31:31
90059,Research New Framework,Evaluate Next.js vs Remix for upcoming project,0,Low,2026-01-20,2026-01-12 21:31:31,2026-01-12 21:31:31
90060,Client Follow Up,Send progress report to client stakeholders,0,Medium,2026-01-16,2026-01-12 21:31:31,2026-01-12 21:31:31
90061,Complete Project Proposal,Draft and submit the Q1 project proposal to management,0,High,2026-01-15,2026-01-12 21:32:30,2026-01-12 21:32:30
90062,Review Code Changes,Review pull requests from the frontend team,0,Medium,2026-01-13,2026-01-12 21:32:30,2026-01-12 21:32:30
90063,Update Documentation,Update API docs with new endpoints,1,Low,2026-01-10,2026-01-12 21:32:30,2026-01-12 21:32:30
90064,Schedule Team Meeting,Set up weekly sync meeting for engineering team,1,Medium,2026-01-11,2026-01-12 21:32:30,2026-01-12 21:32:30
90065,Fix Login Bug,Resolve the authentication timeout issue reported by users,0,High,2026-01-14,2026-01-12 21:32:30,2026-01-12 21:32:30
90066,Deploy To Staging,Push latest changes to staging environment for QA,0,High,2026-01-12,2026-01-12 21:32:30,2026-01-12 21:32:30
90067,Write Unit Tests,Add test coverage for the new payment module,0,Medium,2026-01-18,2026-01-12 21:32:30,2026-01-12 21:32:30
90068,Backup Database,Create weekly backup of production database,1,Low,2026-01-09,2026-01-12 21:32:30,2026-01-12 21:32:30
90069,Research New Framework,Evaluate Next.js vs Remix for upcoming project,0,Low,2026-01-20,2026-01-12 21:32:30,2026-01-12 21:32:30
90070,Client Follow Up,Send progress report to client stakeholders,0,Medium,2026-01-16,2026-01-12 21:32:30,2026-01-12 21:32:30
90071,Complete Project Proposal,Draft and submit the Q1 project proposal to management,0,High,2026-01-15,2026-01-12 21:32:58,2026-01-12 21:32:58
90072,Review Code Changes,Review pull requests from the frontend team,0,Medium,2026-01-13,2026-01-12 21:32:58,2026-01-12 21:32:58
90073,Update Documentation,Update API docs with new endpoints,1,Low,2026-01-10,2026-01-12 21:32:58,2026-01-12 21:32:58
90074,Schedule Team Meeting,Set up weekly sync meeting for engineering team,1,Medium,2026-01-11,2026-01-12 21:32:58,2026-01-12 21:32:58
90075,Fix Login Bug,Resolve the authentication timeout issue reported by users,0,High,2026-01-14,2026-01-12 21:32:58,2026-01-12 21:32:58
90076,Deploy To Staging,Push latest changes to staging environment for QA,0,High,2026-01-12,2026-01-12 21:32:58,2026-01-12 21:32:58
90077,Write Unit Tests,Add test coverage for the new payment module,0,Medium,2026-01-18,2026-01-12 21:32:58,2026-01-12 21:32:58
90078,Backup Database,Create weekly backup of production database,1,Low,2026-01-09,2026-01-12 21:32:58,2026-01-12 21:32:58
90079,Research New Framework,Evaluate Next.js vs Remix for upcoming project,0,Low,2026-01-20,2026-01-12 21:32:58,2026-01-12 21:32:58
90080,Client Follow Up,Send progress report to client stakeholders,0,Medium,2026-01-16,2026-01-12 21:32:58,2026-01-12 21:32:58
90081,Complete Project Proposal,Draft and submit the Q1 project proposal to management,0,High,2026-01-15,2026-01-12 21:33:35,2026-01-12 21:33:35
90082,Review Code Changes,Review pull requests from the frontend team,0,Medium,2026-01-13,2026-01-12 21:33:35,2026-01-12 21:33:35
90083,Update Documentation,Update API docs with new endpoints,1,Low,2026-01-10,2026-01-12 21:33:35,2026-01-12 21:33:35
90084,Schedule Team Meeting,Set up weekly sync meeting for engineering team,1,Medium,2026-01-11,2026-01-12 21:33:35,2026-01-12 21:33:35
90085,Fix Login Bug,Resolve the authentication timeout issue reported by users,0,High,2026-01-14,2026-01-12 21:33:35,2026-01-12 21:33:35
90086,Deploy To Staging,Push latest changes to staging environment for QA,0,High,2026-01-12,2026-01-12 21:33:35,2026-01-12 21:33:35
90087,Write Unit Tests,Add test coverage for the new payment module,0,Medium,2026-01-18,2026-01-12 21:33:35,2026-01-12 21:33:35
90088,Backup Database,Create weekly backup of production database,1,Low,2026-01-09,2026-01-12 21:33:35,2026-01-12 21:33:35
90089,Research New Framework,Evaluate Next.js vs Remix for upcoming project,0,Low,2026-01-20,2026-01-12 21:33:35,2026-01-12 21:33:35
90090,Client Follow Up,Send progress report to client stakeholders,0,Medium,2026-01-16,2026-01-12 21:33:35,2026-01-12 21:33:35
90091,,,0,,,2026-01-12 21:33:35,2026-01-12 21:33:35
90092,Complete Project Proposal,Draft and submit the Q1 project proposal to management,0,High,2026-01-15,2026-01-12 21:35:07,2026-01-12 21:35:07
90093,Review Code Changes,Review pull requests from the frontend team,0,Medium,2026-01-13,2026-01-12 21:35:07,2026-01-12 21:35:07
90094,Update Documentation,Update API docs with new endpoints,1,Low,2026-01-10,2026-01-12 21:35:07,2026-01-12 21:35:07
90095,Schedule Team Meeting,Set up weekly sync meeting for engineering team,1,Medium,2026-01-11,2026-01-12 21:35:07,2026-01-12 21:35:07
90096,Fix Login Bug,Resolve the authentication timeout issue reported by users,0,High,2026-01-14,2026-01-12 21:35:07,2026-01-12 21:35:07
90097,Deploy To Staging,Push latest changes to staging environment for QA,0,High,2026-01-12,2026-01-12 21:35:07,2026-01-12 21:35:07
90098,Write Unit Tests,Add test coverage for the new payment module,0,Medium,2026-01-18,2026-01-12 21:35:07,2026-01-12 21:35:07
90099,Backup Database,Create weekly backup of production database,1,Low,2026-01-09,2026-01-12 21:35:07,2026-01-12 21:35:07
90100,Research New Framework,Evaluate Next.js vs Remix for upcoming project,0,Low,2026-01-20,2026-01-12 21:35:07,2026-01-12 21:35:07
90101,Client Follow Up,Send progress report to client stakeholders,0,Medium,2026-01-16,2026-01-12 21:35:07,2026-01-12 21:35:07
90102,Complete Project Proposal,Draft and submit the Q1 project proposal to management,0,High,2026-01-15,2026-01-12 21:35:46,2026-01-12 21:35:46
90103,Review Code Changes,Review pull requests from the frontend team,0,Medium,2026-01-13,2026-01-12 21:35:46,2026-01-12 21:35:46
90104,Update Documentation,Update API docs with new endpoints,1,Low,2026-01-10,2026-01-12 21:35:46,2026-01-12 21:35:46
90105,Schedule Team Meeting,Set up weekly sync meeting for engineering team,1,Medium,2026-01-11,2026-01-12 21:35:46,2026-01-12 21:35:46
90106,Fix Login Bug,Resolve the authentication timeout issue reported by users,0,High,2026-01-14,2026-01-12 21:35:46,2026-01-12 21:35:46
90107,Deploy To Staging,Push latest changes to staging environment for QA,0,High,2026-01-12,2026-01-12 21:35:46,2026-01-12 21:35:46
90108,Write Unit Tests,Add test coverage for the new payment module,0,Medium,2026-01-18,2026-01-12 21:35:46,2026-01-12 21:35:46
90109,Backup Database,Create weekly backup of production database,1,Low,2026-01-09,2026-01-12 21:35:46,2026-01-12 21:35:46
90110,Research New Framework,Evaluate Next.js vs Remix for upcoming project,0,Low,2026-01-20,2026-01-12 21:35:46,2026-01-12 21:35:46
90111,Client Follow Up,Send progress report to client stakeholders,0,Medium,2026-01-16,2026-01-12 21:35:46,2026-01-12 21:35:46
90112,Complete Project Proposal,Draft and submit the Q1 project proposal to management,0,High,2026-01-15,2026-01-12 21:36:23,2026-01-12 21:36:23
90113,Review Code Changes,Review pull requests from the frontend team,0,Medium,2026-01-13,2026-01-12 21:36:23,2026-01-12 21:36:23
90114,Update Documentation,Update API docs with new endpoints,1,Low,2026-01-10,2026-01-12 21:36:23,2026-01-12 21:36:23
90115,Schedule Team Meeting,Set up weekly sync meeting for engineering team,1,Medium,2026-01-11,2026-01-12 21:36:23,2026-01-12 21:36:23
90116,Fix Login Bug,Resolve the authentication timeout issue reported by users,0,High,2026-01-14,2026-01-12 21:36:23,2026-01-12 21:36:23
90117,Deploy To Staging,Push latest changes to staging environment for QA,0,High,2026-01-12,2026-01-12 21:36:23,2026-01-12 21:36:23
90118,Write Unit Tests,Add test coverage for the new payment module,0,Medium,2026-01-18,2026-01-12 21:36:23,2026-01-12 21:36:23
90119,Backup Database,Create weekly backup of production database,1,Low,2026-01-09,2026-01-12 21:36:23,2026-01-12 21:36:23
90120,Research New Framework,Evaluate Next.js vs Remix for upcoming project,0,Low,2026-01-20,2026-01-12 21:36:23,2026-01-12 21:36:23
90121,Client Follow Up,Send progress report to client stakeholders,0,Medium,2026-01-16,2026-01-12 21:36:23,2026-01-12 21:36:23
90122,Complete Project Proposal,Draft and submit the Q1 project proposal to management,0,High,2026-01-15,2026-01-12 21:36:25,2026-01-12 21:36:25
90123,Review Code Changes,Review pull requests from the frontend team,0,Medium,2026-01-13,2026-01-12 21:36:25,2026-01-12 21:36:25
90124,Update Documentation,Update API docs with new endpoints,1,Low,2026-01-10,2026-01-12 21:36:25,2026-01-12 21:36:25
90125,Schedule Team Meeting,Set up weekly sync meeting for engineering team,1,Medium,2026-01-11,2026-01-12 21:36:25,2026-01-12 21:36:25
90126,Fix Login Bug,Resolve the authentication timeout issue reported by users,0,High,2026-01-14,2026-01-12 21:36:25,2026-01-12 21:36:25
90127,Deploy To Staging,Push latest changes to staging environment for QA,0,High,2026-01-12,2026-01-12 21:36:25,2026-01-12 21:36:25
90128,Write Unit Tests,Add test coverage for the new payment module,0,Medium,2026-01-18,2026-01-12 21:36:25,2026-01-12 21:36:25
90129,Backup Database,Create weekly backup of production database,1,Low,2026-01-09,2026-01-12 21:36:25,2026-01-12 21:36:25
90130,Research New Framework,Evaluate Next.js vs Remix for upcoming project,0,Low,2026-01-20,2026-01-12 21:36:25,2026-01-12 21:36:25
90131,Client Follow Up,Send progress report to client stakeholders,0,Medium,2026-01-16,2026-01-12 21:36:25,2026-01-12 21:36:25
90132,,,0,Medium,,2026-01-12 21:37:27,2026-01-12 21:37:27
90133,,,0,Medium,,2026-01-12 21:46:52,2026-01-12 21:46:52
90134,,,0,Medium,,2026-01-12 21:48:39,2026-01-12 21:48:39
120001,,,0,Medium,,2026-01-12 21:58:58,2026-01-12 21:58:58
120002,,,0,Medium,,2026-01-12 22:02:19,2026-01-12 22:02:19
120003,,,0,Medium,,2026-01-12 22:02:25,2026-01-12 22:02:25
120004,Team,,0,Low,2026-01-14,2026-01-12 22:03:18,2026-01-12 22:03:18
120005,Team,,0,Low,2026-01-17,2026-01-12 22:03:29,2026-01-12 22:03:29
120006,,,0,Medium,,2026-01-12 22:05:41,2026-01-12 22:05:41
120007,4,,0,Low,2026-01-15,2026-01-12 22:05:58,2026-01-12 22:05:58
